"TEAM","game_id","HOME","PASSINGYARDS","RUSHINGYARDS","TURNOVERS","THIRDDOWN%","REDZONETD%","PENALTYYARDS","OPPONENTPAG","EPA_per_play","PASS_EPA","RUSH_EPA","SUCCESS_RATE","POINTSSCORED"
"LA","2024_07_LV_LA",1,154,115,1,0.2,0.181818181818182,39,25.1176470588235,-0.325047488822715,-0.302203778449785,-0.274353623222291,0.436619718309859,20
"LV","2024_07_LV_LA",0,206,122,4,0.235294117647059,0,69,21.8947368421053,-0.264831201644541,-0.528184960678874,-0.0428100904732831,0.389473684210526,15
"IND","2024_07_MIA_IND",1,129,155,1,0.307692307692308,0.0769230769230769,25,20.7647058823529,-0.158139610568299,-0.222054007439684,-0.176296426616498,0.392405063291139,16
"MIA","2024_07_MIA_IND",0,161,188,2,0.4375,0.111111111111111,50,24.8823529411765,-0.228643321735958,-0.0833492472542263,-0.374604209653711,0.452380952380952,10
"JAX","2024_07_NE_JAX",1,193,171,0,0.6,0.115384615384615,5,23.8235294117647,0.232356506874388,0.532806889194104,0.0837818269680541,0.569444444444444,31
"NE","2024_07_NE_JAX",0,276,38,0,0.4,0.142857142857143,54,25,-0.0198693492478071,0.171594641534795,-0.186687930161133,0.421052631578947,16
"NYJ","2024_07_NYJ_PIT",0,276,54,2,0.3,0.181818181818182,37,20.7222222222222,-0.119978778636618,0.00206637169363989,-0.0925891394338881,0.44,15
"PIT","2024_07_NYJ_PIT",1,264,149,0,0.357142857142857,0.153846153846154,49,23.0588235294118,0.180613237666702,0.292044622286767,0.0438069295172076,0.463414634146341,36
"NYG","2024_07_PHI_NYG",1,105,76,0,0.176470588235294,0,45,17.6190476190476,-0.259356883756647,-0.618490057428264,-0.0428622666982442,0.402597402597403,3
"PHI","2024_07_PHI_NYG",0,114,269,0,0.0714285714285714,0.157894736842105,25,24.0588235294118,0.133594453556307,-0.187427036289591,0.298342865142992,0.451219512195122,28
"ATL","2024_07_SEA_ATL",1,246,155,3,0.444444444444444,0.181818181818182,42,21.2352941176471,-0.143411033645705,-0.206498021021044,0.0367570944457134,0.5,14
"SEA","2024_07_SEA_ATL",0,242,103,0,0.461538461538462,0.181818181818182,72,23.8823529411765,0.172889301564414,0.312460578068831,-0.11686291764356,0.460526315789474,34
"BUF","2024_07_TEN_BUF",1,323,74,0,0.363636363636364,0.2,27,27,0.17047059893212,0.377998428359216,-0.0496013487820164,0.5,33
"TEN","2024_07_TEN_BUF",0,215,89,2,0.388888888888889,0.0909090909090909,65,21.3,-0.151028646301867,-0.0868956237662234,-0.463175603072159,0.433333333333333,10
"ARI","2024_08_ARI_MIA",0,307,82,0,0.466666666666667,0.125,34,20.7647058823529,0.227882665666992,0.509264991834819,-0.0406904340658072,0.54320987654321,25
"MIA","2024_08_ARI_MIA",1,234,150,0,0.733333333333333,0.1875,10,21.4705882352941,0.201662294603882,0.223896831496926,0.144479943559272,0.545454545454545,27
"ATL","2024_08_ATL_TB",0,276,129,0,0.538461538461538,0.166666666666667,40,21.6666666666667,0.158674596651871,0.488454160182887,0.0157562974749887,0.578947368421053,31
"TB","2024_08_ATL_TB",1,330,102,3,0.642857142857143,0.272727272727273,48,23.8823529411765,0.0415756673999018,0.180645964005912,-0.128834055351382,0.51685393258427,26
"BAL","2024_08_BAL_CLE",0,289,124,0,0.25,0.214285714285714,97,25.5882352941176,0.0549440525357627,0.199200828395215,-0.0922735887524184,0.5,24
"CLE","2024_08_BAL_CLE",1,334,80,1,0.5,0,30,20.7368421052632,0.11854454955132,0.270444555019655,-0.1336952308751,0.517647058823529,29
"BUF","2024_08_BUF_SEA",0,283,164,2,0.5625,0.16,107,21.2352941176471,0.190545140150654,0.357011365156372,0.265088644297418,0.532608695652174,31
"SEA","2024_08_BUF_SEA",1,212,32,1,0.125,0.0666666666666667,60,21.3,-0.100564005301863,0.0384371501685089,-0.680132258637968,0.492537313432836,10
"CAR","2024_08_CAR_DEN",0,224,69,2,0.294117647058824,0.2,83,18.3888888888889,-0.124222422272253,-0.13712057115772,-0.162730515093426,0.454545454545455,13
"DEN","2024_08_CAR_DEN",1,315,102,2,0.647058823529412,0.173913043478261,9,30.8235294117647,0.0601429108568196,0.0959594830297069,-0.0474361869778173,0.482352941176471,28
"CHI","2024_08_CHI_WAS",0,131,202,1,0.133333333333333,0.0909090909090909,51,24.5,-0.0816230825988817,-0.295882902279114,0.011831952373596,0.4375,13
"WAS","2024_08_CHI_WAS",1,326,168,0,0.3125,0,39,20.8823529411765,-0.00579623666165527,0.160952167572733,-0.0325435538616148,0.426966292134831,12
"DAL","2024_08_DAL_SF",0,243,56,2,0.384615384615385,0.2,58,25,0.0257196667137584,0.0231545144145781,-0.109369379903203,0.481012658227848,24
"SF","2024_08_DAL_SF",1,260,223,0,0.470588235294118,0.2,45,27.2941176470588,0.107843413293676,0.261499182398566,0.243463815552705,0.523809523809524,30
"GB","2024_08_GB_JAX",0,252,170,1,0.333333333333333,0.0952380952380952,51,25,0.132928777632441,0.21529848192078,0.0274143408783452,0.49438202247191,27
"JAX","2024_08_GB_JAX",1,308,91,2,0.0909090909090909,0.272727272727273,28,19.2777777777778,0.0631027730677172,0.162695823751905,-0.084316699782866,0.513157894736842,26
"HOU","2024_08_IND_HOU",1,285,96,1,0.357142857142857,0.142857142857143,32,24.8823529411765,-0.0184589253404904,0.141120704438748,-0.35256456174679,0.460674157303371,23
"IND","2024_08_IND_HOU",0,175,150,2,0.153846153846154,0.125,55,20.8421052631579,-0.0338176403683813,-0.224326270333981,0.0968285459164735,0.357142857142857,20
"KC","2024_08_KC_LV",0,262,82,1,0.75,0.166666666666667,50,25.1176470588235,0.0730702028703375,0.278652559332859,0.023797328814488,0.535714285714286,27
"LV","2024_08_KC_LV",1,209,33,1,0.466666666666667,0.0909090909090909,37,20.1,-0.0425325233739104,0.207461116471104,-0.495619132960565,0.506849315068493,19
"LA","2024_08_MIN_LA",1,279,107,1,0.5,0.166666666666667,80,19.3333333333333,0.149664634810012,0.467361109603457,-0.14279456254986,0.50561797752809,30
"MIN","2024_08_MIN_LA",0,240,64,0,0.285714285714286,0.153846153846154,10,21.8947368421053,0.0949878942793183,0.302437195879321,-0.151277404184276,0.5,20
"LAC","2024_08_NO_LAC",1,279,122,0,0.25,0.125,32,23.1176470588235,0.0419362101572573,0.0614123701501662,-0.0814827505029306,0.390243902439024,25
"NO","2024_08_NO_LAC",0,281,117,0,0.111111111111111,0,68,17.6666666666667,-0.205466582941803,-0.230702235232265,-0.129035776328584,0.376344086021505,8
"NYG","2024_08_NYG_PIT",0,264,157,2,0.277777777777778,0,70,20.7222222222222,-0.0277763083188558,-0.0279870662336419,0.166443102629855,0.43956043956044,18
"PIT","2024_08_NYG_PIT",1,278,167,1,0.4,0,45,24.0588235294118,0.051893887264002,0.121444664780733,0.0454062964786621,0.506024096385542,26
"NE","2024_08_NYJ_NE",1,155,112,0,0.466666666666667,0.157894736842105,50,23.0588235294118,0.01443964402343,-0.00176105763957972,0.0780599677217974,0.469135802469136,23
"NYJ","2024_08_NYJ_NE",0,233,112,0,0.5,0.157894736842105,55,23.8235294117647,0.0186357897275217,0.140524639744904,0.0570206443163833,0.506493506493506,22
"CIN","2024_08_PHI_CIN",1,234,58,2,0.769230769230769,0.133333333333333,0,17.6190476190476,-0.0168576842826541,0.0633088032359739,-0.129414369290891,0.457142857142857,17
"PHI","2024_08_PHI_CIN",0,236,161,0,0.5,0.166666666666667,43,24.4117647058824,0.319691958030985,0.720228018436605,0.141891897356566,0.554054054054054,34
"DET","2024_08_TEN_DET",1,94,164,0,0.4,0.227272727272727,15,27,0.182178505432819,-0.190340093832175,0.231739995125584,0.578125,52
"TEN","2024_08_TEN_DET",0,266,158,4,0.272727272727273,0.153846153846154,69,21.0555555555556,-0.32988663195279,-0.439143584706098,-0.109136343688078,0.446808510638298,14
"ARI","2024_09_CHI_ARI",1,154,213,2,0.384615384615385,0.0952380952380952,17,20.8823529411765,0.0428039614055495,-0.317417834704461,0.0982191201917593,0.506849315068493,29
"CHI","2024_09_CHI_ARI",0,217,69,0,0.25,0,31,21.4705882352941,-0.182892326843072,-0.232169139384565,-0.219327971609098,0.325842696629214,9
"ATL","2024_09_DAL_ATL",1,222,100,1,0.285714285714286,0.230769230769231,25,27.2941176470588,0.0185402847706572,0.276086371471243,-0.0580988371425687,0.458333333333333,27
"DAL","2024_09_DAL_ATL",0,248,137,0,0.230769230769231,0.153846153846154,56,23.8823529411765,-0.0388280890305156,-0.0941177617480497,0.215048081158394,0.436170212765957,19
"BAL","2024_09_DEN_BAL",1,280,127,0,0.375,0.173913043478261,56,18.3888888888889,0.342818205061851,0.966950780715702,0.0814094907302561,0.605633802816901,41
"DEN","2024_09_DEN_BAL",0,225,122,1,0.4,0.0434782608695652,68,20.7368421052632,-0.119890040893492,-0.199008774911114,-0.110783348072738,0.364705882352941,10
"DET","2024_09_DET_GB",0,145,124,0,0.357142857142857,0.0952380952380952,22,19.2777777777778,0.110883411899207,0.258390458192234,0.0221387805007719,0.514285714285714,24
"GB","2024_09_DET_GB",1,273,138,1,0.307692307692308,0.0625,81,21.0555555555556,-0.0558503147427457,-0.0770319060931722,0.0909363123935506,0.475,12
"HOU","2024_09_HOU_NYJ",0,191,187,1,0.31578947368421,0.0476190476190476,108,23.0588235294118,0.0115980637160271,-0.363174184371672,0.245436082543373,0.410526315789474,10
"NYJ","2024_09_HOU_NYJ",1,211,100,1,0.384615384615385,0,35,20.8421052631579,0.120356638972632,0.253104092794648,-0.301844418494147,0.464788732394366,21
"IND","2024_09_IND_MIN",0,179,68,2,0.272727272727273,0,66,19.3333333333333,-0.291402899373511,-0.292512430947469,-0.382392996026935,0.409090909090909,10
"MIN","2024_09_IND_MIN",1,312,133,3,0.461538461538462,0.166666666666667,25,24.8823529411765,-0.133584842150824,-0.0803684994281514,0.00606980515576359,0.517647058823529,21
"JAX","2024_09_JAX_PHI",0,169,60,2,0.363636363636364,0.222222222222222,28,17.6190476190476,-0.0704751361285265,-0.251007659094668,-0.0295597717032411,0.424242424242424,23
"PHI","2024_09_JAX_PHI",1,230,237,2,0.473684210526316,0.166666666666667,56,25,0.0114171341875399,0.149417567907972,-0.0622825136379409,0.436170212765957,28
"CLE","2024_09_LAC_CLE",1,235,79,3,0.333333333333333,0.0666666666666667,30,17.6666666666667,-0.269160970816487,-0.403160044029246,0.0160146789761105,0.431578947368421,9
"LAC","2024_09_LAC_CLE",0,282,96,0,0.333333333333333,0.222222222222222,30,25.5882352941176,-0.0646552684955716,0.0401272945583312,0.0179239489398674,0.337837837837838,27
"LA","2024_09_LA_SEA",0,298,68,1,0.333333333333333,0.05,90,21.2352941176471,-0.0404408738700437,0.0880322388072765,-0.239939971549578,0.419354838709677,20
"SEA","2024_09_LA_SEA",1,363,107,3,0.294117647058824,0.153846153846154,88,21.8947368421053,-0.156055060853089,-0.1332999100531,-0.396180285231821,0.44,20
"CIN","2024_09_LV_CIN",1,251,130,1,0.533333333333333,0.16,51,25.1176470588235,0.113632843158909,0.175416829634252,-0.03115040196431,0.565217391304348,41
"LV","2024_09_LV_CIN",0,198,60,2,0.428571428571429,0.1,60,24.4117647058824,-0.1018302261836,-0.252308125097586,-0.342892578950373,0.481481481481481,23
"BUF","2024_09_MIA_BUF",1,235,94,1,0.538461538461538,0.105263157894737,62,20.7647058823529,0.217609631615489,0.227015020002003,0.0385495354013343,0.59493670886076,27
"MIA","2024_09_MIA_BUF",0,231,149,1,0.555555555555556,0.2,35,21.3,0.21515357640159,0.604976831961867,0.0161398063510095,0.584415584415584,27
"NE","2024_09_NE_TEN",0,206,110,3,0.266666666666667,0.142857142857143,68,27,-0.0877073300296141,-0.25109894316652,0.268608633862459,0.476190476190476,17
