,TEAM,game_id,HOME,PASSINGYARDS,RUSHINGYARDS,TURNOVERS,THIRDDOWN%,REDZONETD%,PENALTYYARDS,OPPONENTPAG,EPA_per_play,PASS_EPA,RUSH_EPA,SUCCESS_RATE,POINTSSCORED,EPA_per_play_last3,REDZONETD%_last3,POINTSSCORED_last3,OPPONENTPAG_last3
278,BUF,2024_10_BUF_IND,0,280,135,2,0.5,0.111111111111111,49,24.8823529411765,0.0157362506050691,-0.165731110063837,0.261427283083322,0.488888888888889,30,0.19287512356608763,0.1550877192982457,30.333333333333332,23.0
320,BUF,2024_11_KC_BUF,1,262,104,1,0.647058823529412,0.1875,32,20.1,0.140793664296329,0.149043967175709,0.0438542167178419,0.476744186046512,30,0.14129700745707072,0.12545808966861602,29.333333333333332,22.29411764705883
384,BUF,2024_13_SF_BUF,1,152,220,0,0.5,0.307692307692308,20,25.0,0.145052641520968,0.406607398454475,0.31453322339397,0.507042253521127,35,0.12471318217229571,0.13462475633528267,29.0,21.9156862745098
392,BUF,2024_14_BUF_LA,0,342,103,0,0.636363636363636,0.2,115,21.8947368421053,0.312422443612418,0.454693106490791,0.431982129724929,0.556962025316456,41,0.10052751880745538,0.2021011396011397,31.666666666666668,23.327450980392168
420,BUF,2024_15_BUF_DET,0,362,197,0,0.384615384615385,0.178571428571429,47,21.0555555555556,0.368704934755024,0.584877778455604,0.371769945090514,0.606741573033708,48,0.19942291647657165,0.23173076923076938,35.333333333333336,22.33157894736843
464,BUF,2024_16_NE_BUF,1,154,172,1,0.307692307692308,0.125,25,23.8235294117647,0.0741064363625518,0.0509587328083862,0.0162253985888259,0.493150684931507,24,0.27539333996280335,0.22875457875457902,41.333333333333336,22.65009746588697
506,BUF,2024_17_NYJ_BUF,1,251,97,0,0.5,0.1875,104,23.0588235294118,0.15209605997748,0.602286970711457,-0.214626376478918,0.511904761904762,40,0.25174460490999795,0.167857142857143,37.666666666666664,22.257940603141865
512,BUF,2024_18_BUF_NE,0,129,130,0,0.4,0.142857142857143,44,23.8235294117647,-0.0879438637678787,-0.0816413724575751,-0.0530914935410362,0.419753086419753,16,0.19830247703168533,0.16369047619047636,37.333333333333336,22.6459694989107
544,BUF,2024_19_DEN_BUF,1,272,210,0,0.533333333333333,0.0416666666666667,62,18.3888888888889,0.238050099939487,0.550567821557188,0.170256471530549,0.563218390804598,31,0.04608621085738438,0.15178571428571433,26.666666666666668,23.568627450980397
557,BUF,2024_20_BAL_BUF,1,127,147,0,0.5,0.166666666666667,38,20.7368421052632,0.111905979295321,-0.0752634724453664,0.181157925148304,0.552631578947368,27,0.10073409871636278,0.12400793650793658,29.0,21.757080610021802
564,BUF,2024_21_BUF_KC,0,237,147,0,0.357142857142857,0.214285714285714,21,20.1,0.15701278731338,0.196792331763286,0.112297467262555,0.505882352941176,29,0.0873374051556431,0.11706349206349224,24.666666666666668,20.983086801972266
4,CAR,2024_01_CAR_NO,0,161,58,4,0.153846153846154,0.142857142857143,59,23.1176470588235,-0.379689464684967,-0.527636986451812,-0.411530753568513,0.38961038961039,10,0.17497803961740402,0.10416666666666687,29.0,19.56286549707605
44,CAR,2024_02_LAC_CAR,1,84,90,1,0.0769230769230769,0.0,45,17.6666666666667,-0.395445521304195,-0.787620421469979,-0.0286130972478228,0.317460317460317,3,-0.13389174269482298,0.154761904761905,18.5,21.92724458204335
66,CAR,2024_03_CAR_LV,0,319,131,0,0.4,0.15,54,25.1176470588235,0.166824316869059,0.308869470412647,0.054264413676396,0.533333333333333,36,-0.38756749299458104,0.07142857142857152,6.5,20.3921568627451
98,CAR,2024_04_CIN_CAR,1,220,155,1,0.470588235294118,0.153846153846154,20,24.4117647058824,0.0445182508794943,0.0017191750394719,0.0065678732415627,0.534883720930233,24,-0.20277022304003434,0.09761904761904767,16.333333333333332,21.9673202614379
134,CAR,2024_05_CAR_CHI,0,194,120,3,0.307692307692308,0.0,23,20.8823529411765,-0.197330981514138,-0.493862796886556,0.220119675786823,0.426666666666667,10,-0.061367651185213916,0.10128205128205135,21.0,22.398692810457533
159,CAR,2024_06_ATL_CAR,1,221,114,2,0.416666666666667,0.105263157894737,94,23.8823529411765,-0.0900755232006567,-0.129126174979144,-0.0501150356922897,0.464285714285714,20,0.004670528744805095,0.10128205128205135,23.333333333333332,23.470588235294134
186,CAR,2024_07_CAR_WAS,0,89,95,2,0.3,0.2,30,24.5,-0.319746328724665,-0.916306438596803,-0.0718938223409086,0.466666666666667,7,-0.08096275127843347,0.086369770580297,18.0,23.0588235294118
222,CAR,2024_08_CAR_DEN,0,224,69,2,0.294117647058824,0.2,83,18.3888888888889,-0.124222422272253,-0.13712057115772,-0.162730515093426,0.454545454545455,13,-0.20238427781315327,0.10175438596491236,12.333333333333334,23.088235294117666
270,CAR,2024_09_NO_CAR,1,171,80,1,0.4,0.272727272727273,77,23.1176470588235,0.0315162630222698,-0.0199643962739072,0.008292584488767,0.436619718309859,23,-0.17801475806585823,0.16842105263157903,13.333333333333334,22.257080610021802
292,CAR,2024_10_NYG_CAR,1,126,188,1,0.375,0.142857142857143,35,24.0588235294118,-0.0165729416968487,-0.263135331117905,0.182637433020939,0.435897435897436,17,-0.13748416265821609,0.22424242424242435,14.333333333333334,22.002178649237464
342,CAR,2024_12_KC_CAR,1,263,85,0,0.333333333333333,0.0645161290322581,77,20.1,0.14030957472187,0.171593818938852,0.229206255926168,0.525,25,-0.036426366982277296,0.20519480519480535,17.666666666666668,21.855119825708062
386,CAR,2024_13_TB_CAR,1,298,78,1,0.352941176470588,0.05,44,21.6666666666667,-0.0755211601188689,0.0961347467013839,-0.208389693410676,0.50561797752809,23,0.05175096534909703,0.1600335148722247,21.666666666666668,22.42549019607843
394,CAR,2024_14_CAR_PHI,0,191,118,1,0.411764705882353,0.142857142857143,57,17.6190476190476,-0.0012703475080082,0.0795238968284269,-0.0451035151433047,0.397590361445783,16,0.016071824302050796,0.08579109062980039,21.666666666666668,21.9418300653595
426,CAR,2024_15_DAL_CAR,1,219,60,4,0.266666666666667,0.111111111111111,84,27.2941176470588,-0.0910916066934058,-0.302503268296063,-0.385000813250372,0.48,14,0.021172689031664294,0.08579109062980039,21.333333333333332,19.7952380952381
