TEAM,game_id,HOME,PASSINGYARDS,RUSHINGYARDS,TURNOVERS,THIRDDOWN%,REDZONETD%,PENALTYYARDS,OPPONENTPAG,POINTSSCORED
GB,2024_06_ARI_GB,1,258,179,1,0.533333333,0.176470588,55,21.47058824,34
ATL,2024_06_ATL_CAR,0,225,198,1,0.538461538,0.133333333,25,30.82352941,38
CAR,2024_06_ATL_CAR,1,221,114,2,0.416666667,0.105263158,94,23.88235294,20
BUF,2024_06_BUF_NYJ,0,215,149,0,0.384615385,0.136363636,116,23.05882353,23
NYJ,2024_06_BUF_NYJ,1,294,121,1,0.4,0.058823529,88,21.3,20
CIN,2024_06_CIN_NYG,0,208,121,1,0.333333333,0,24,24.05882353,17
NYG,2024_06_CIN_NYG,1,205,119,1,0.411764706,0.25,52,24.41176471,7
CLE,2024_06_CLE_PHI,0,168,100,0,0.1875,0,80,17.61904762,13
PHI,2024_06_CLE_PHI,1,264,116,0,0.333333333,0,15,25.58823529,20
DAL,2024_06_DET_DAL,1,224,53,5,0.333333333,0,38,21.05555556,9
DET,2024_06_DET_DAL,0,334,184,0,0.333333333,0.142857143,55,27.29411765,47
HOU,2024_06_HOU_NE,0,192,192,1,0.4,0.235294118,50,23.82352941,41
NE,2024_06_HOU_NE,1,243,82,4,0.230769231,0.142857143,38,20.84210526,21
IND,2024_06_IND_TEN,0,189,80,1,0.529411765,0.052631579,98,27,20
TEN,2024_06_IND_TEN,1,95,146,1,0.357142857,0.142857143,55,24.88235294,17
CHI,2024_06_JAX_CHI,1,226,152,1,0.466666667,0.285714286,29,25,35
JAX,2024_06_JAX_CHI,0,240,68,2,0.4375,0.052631579,24,20.88235294,16
DEN,2024_06_LAC_DEN,1,216,110,2,0.2,0.5,30,17.66666667,13
LAC,2024_06_LAC_DEN,0,237,128,0,0.631578947,0.047619048,27,18.38888889,23
LV,2024_06_PIT_LV,1,227,57,3,0.181818182,0.153846154,15,20.72222222,13
PIT,2024_06_PIT_LV,0,145,183,0,0.375,0.125,77,25.11764706,32
SEA,2024_06_SF_SEA,1,312,52,3,0.368421053,0.1,50,25,24
SF,2024_06_SF_SEA,0,255,228,0,0.416666667,0.142857143,53,21.23529412,36
NO,2024_06_TB_NO,1,243,81,3,0.333333333,0.166666667,40,21.66666667,27
TB,2024_06_TB_NO,0,325,277,3,0.6,0.173913043,116,23.11764706,50
BAL,2024_06_WAS_BAL,1,323,176,1,0.666666667,0.166666667,36,24.5,30
WAS,2024_06_WAS_BAL,0,269,52,0,0.307692308,0.117647059,43,20.73684211,20
BAL,2024_07_BAL_TB,0,281,244,1,0.375,0.19047619,100,21.66666667,41
TB,2024_07_BAL_TB,1,370,125,2,0.55,0.111111111,60,20.73684211,31
CAR,2024_07_CAR_WAS,0,89,95,2,0.3,0.2,30,24.5,7
WAS,2024_07_CAR_WAS,1,211,213,0,0.461538462,0.125,84,30.82352941,40
CIN,2024_07_CIN_CLE,0,181,59,0,0.153846154,0.2,35,25.58823529,21
CLE,2024_07_CIN_CLE,1,277,77,2,0.428571429,0.153846154,82,24.41176471,12
DEN,2024_07_DEN_NO,0,164,225,1,0.363636364,0.142857143,32,23.11764706,33
NO,2024_07_DEN_NO,1,210,97,2,0.333333333,0.333333333,50,18.38888889,9
DET,2024_07_DET_MIN,0,280,144,1,0.4,0.142857143,49,19.33333333,28
MIN,2024_07_DET_MIN,1,259,139,1,0.363636364,0,59,21.05555556,29
GB,2024_07_HOU_GB,1,220,82,2,0.4,0.2,70,20.84210526,21
HOU,2024_07_HOU_GB,0,86,142,1,0.266666667,0.111111111,40,19.27777778,19
KC,2024_07_KC_SF,0,154,184,2,0.571428571,0.19047619,20,25,28
SF,2024_07_KC_SF,1,212,101,3,0.25,0.125,68,20.1,18
ARI,2024_07_LAC_ARI,1,145,181,1,0.333333333,0.090909091,52,17.66666667,14
LAC,2024_07_LAC_ARI,0,349,59,1,0.428571429,0,20,21.47058824,12
LA,2024_07_LV_LA,1,154,115,1,0.2,0.181818182,39,25.11764706,20
